Model,Mean Accuracy,Mean F1
Random Forest,0.6188057040998218,0.6065124581301052
SVM,0.5447415329768271,0.5235499990205874
KNN,0.562210338680927,0.551951450510274
Gradient Boosting,0.5090017825311943,0.4872085724732783
